
2 ;1111111;ali;ayşe;0;kitap2;yazar2;tr;4;29 Mayıs 2023 Pazartesi;2 Haziran 2023 Cuma
3 ;1111111;ali;ayşe;0;kitap5;yazar5;tr;5;29 Mayıs 2023 Pazartesi;3 Haziran 2023 Cumartesi
4 ;1111111;ali;ayşe;0;kitap5;yazar5;tr;5;29 Mayıs 2023 Pazartesi;3 Haziran 2023 Cumartesi
5 ;1111111;ali;ayşe;0;kitap3;yazar3;tr;5;29 Mayıs 2023 Pazartesi;3 Haziran 2023 Cumartesi
6 ;123456;Görkem;Reisss;(531) 331-3131;kitap1;yazar1;tr;5;29 Mayıs 2023 Pazartesi;3 Haziran 2023 Cumartesi
7 ;123456;Görkem;Reisss;(531) 331-3131;kitap6;yazar6;tr;6;29 Mayıs 2023 Pazartesi;4 Haziran 2023 Pazar
8 ;123456;Görkem;Reisss;(531) 331-3131;kitap5;yazar5;tr;4;25 Mayıs 2023 Perşembe;29 Mayıs 2023 Pazartesi
9 ;123456;Görkem;Reisss;(531) 331-3131;kitap8;yazar8;tr;25;4 Mayıs 2023 Perşembe;29 Mayıs 2023 Pazartesi
10 ;123456;Görkem;Reisss;(531) 331-3131;kitap4;yazar4;tr;32;27 Nisan 2023 Perşembe;29 Mayıs 2023 Pazartesi
11 ;123456;Görkem;Reisss;(531) 331-3131;kitap6;yazar6;tr;24;5 Mayıs 2023 Cuma;29 Mayıs 2023 Pazartesi
12 ;123456;Görkem;Reisss;(531) 331-3131;kitap4;yazar4;tr;5;29 Mayıs 2023 Pazartesi;3 Haziran 2023 Cumartesi
13 ;123456;Görkem;Reisss;(531) 331-3131;kitap1;yazar1;tr;0;29 Mayıs 2023 Pazartesi;29 Mayıs 2023 Pazartesi
14 ;1111111;ali;ayşe;0;kitap1;yazar1;tr;4;29 Mayıs 2023 Pazartesi;2 Haziran 2023 Cuma
15 ;12365498751;Ozan;İncetaş;(321) 654-3524;kitap7;yazar7;tr;40;30 Mayıs 2023 Salı;9 Temmuz 2023 Pazar
